"Treppen-Brunnen",51.250384,6.976046
"Neanderphal",51.24796,6.974209
"Metzgerei Vogt",51.249137,6.971042
"Goldspiel",51.250212,6.970961
"Mettmanner Kirche",51.251531,6.976782
"Hausfrosch",51.257355,6.969996
"1100 Jahre Mettmann",51.250792,6.976855
"Auwi's Imbiss",51.252248,6.972327
"Lions of Peking Garden",51.242387,6.971115
"Mettmann Zentrum S",51.248664,6.979685
"Mettmanner Tafel",51.243547,6.983114
"Kreis der Pferde",51.253901,6.99262
"Evangelische-Freikirchliche Gemeinde Mettmann",51.251933,6.98652
"Mettmann JubilÃ¤umsstein 1000",51.251667,6.989444
"Goldberger MÃ¼hle",51.253549,6.987259
"Holzskulptur mit Kalksteine",51.251766,6.99424
